*******************************************************************
Job name: 
Argument: Server Batch Job
Start Time: 2016-05-30 16:53:15Z
Login to SAP Success, The following is the login information:
-------------------------------------------------------------------
SAP Database: PAY800
Login Server: 10.1.1.13
Login User  : manager
-------------------------------------------------------------------

2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC006016   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC050017   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC050018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC102004   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC039018   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC039023   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC039024   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC072004   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC073002   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC081004   ], Exception
2016-05-30 16:53:15Z: Process Record: [03044B1H/SC009002   ], Exception
2016-05-30 16:53:15Z: Process Record: [19035B1H/SC054004   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC037009   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC037009   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC037009   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC037009   ], Exception
2016-05-30 16:53:15Z: Process Record: [20054B1H/SC008010   ], Exception
2016-05-30 16:53:15Z: Process Record: [19035B1H/SC084002   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC107004   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC012031   ], Exception
2016-05-30 16:53:15Z: Process Record: [20065B1H/SC037005   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064015   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064015   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064015   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC064015   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065013   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065014   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC065014   ], Exception
2016-05-30 16:53:15Z: Process Record: [16005B1H/SC057009   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [19034B1H/SC007018   ], Exception
2016-05-30 16:53:15Z: Process Record: [20047B1H/GUA07Z00001], Exception
2016-05-30 16:53:15Z: Process Record: [20047B1H/GUA07Z00003], Exception
2016-05-30 16:53:15Z: Process Record: [2011-0812-356       ], Exception
2016-05-30 16:53:15Z: Process Record: [20047B1H/GUA08Z00001], Exception
2016-05-30 16:53:15Z: Process Record: [20047B1H/GUA08Z00002], Exception
2016-05-30 16:53:15Z: Process Record: [20047B1H/GUA08Z00003], Exception
